node_count,run_index,run_ms
2000,63,0.051286
2000,64,0.050855
2000,65,0.050926
2000,66,0.051046
2000,67,0.050905
2000,68,0.050996
2000,69,0.051607
2000,70,0.050886
2000,71,0.051427
2000,72,0.050916
2000,73,0.050725
2000,74,0.051016
2000,75,0.051136
2000,76,0.050936
2000,77,0.050766
2000,78,0.051406
2000,79,0.050895
2000,80,0.061376
2000,81,0.051607
2000,82,0.051047
2000,83,0.051697
2000,84,0.051277
2000,85,0.050906
2000,86,0.051006
2000,87,0.050966
2000,88,0.050986
2000,89,0.050866
2000,90,0.050886
2000,91,0.053510
2000,92,0.051476
2000,93,0.051497
2000,94,0.051116
2000,95,0.051056
2000,96,0.051006
2000,97,0.050896
2000,98,0.051127
2000,99,0.051076
2000,100,0.066685
2500,1,0.092304
2500,2,0.079600
2500,3,0.080171
2500,4,0.071184
2500,5,0.095439
2500,6,0.069882
2500,7,0.074430
2500,8,0.067327
2500,9,0.067137
2500,10,0.067267
2500,11,0.070673
2500,12,0.093787
2500,13,0.073719
2500,14,0.067356
2500,15,0.067246
2500,16,0.066856
2500,17,0.075282
2500,18,0.077055
2500,19,0.101021
2500,20,0.069881
2500,21,0.067306
2500,22,0.066616
2500,23,0.066455
2500,24,0.066606
2500,25,0.066465
2500,26,0.066706
2500,27,0.072526
2500,28,0.066265
2500,29,0.066495
2500,30,0.066506
2500,31,0.066645
2500,32,0.066506
2500,33,0.080902
2500,34,0.066766
2500,35,0.066515
2500,36,0.066495
2500,37,0.066405
2500,38,0.066415
2500,39,0.069020
2500,40,0.066986
2500,41,0.066485
2500,42,0.066736
2500,43,0.066345
2500,44,0.066365
2500,45,0.066385
2500,46,0.066345
2500,47,0.067407
2500,48,0.080522
2500,49,0.067587
2500,50,0.066486
2500,51,0.066635
2500,52,0.066425
2500,53,0.066605
2500,54,0.066425
2500,55,0.066345
2500,56,0.066355
2500,57,0.066345
2500,58,0.066375
2500,59,0.068209
2500,60,0.066635
2500,61,0.066375
2500,62,0.076394
2500,63,0.067598
2500,64,0.067307
2500,65,0.066575
2500,66,0.066345
2500,67,0.066445
2500,68,0.073088
2500,69,0.072356
2500,70,0.066626
2500,71,0.068309
2500,72,0.066285
2500,73,0.066665
2500,74,0.066475
2500,75,0.066566
2500,76,0.066475
2500,77,0.086844
2500,78,0.067848
2500,79,0.066715
2500,80,0.066405
2500,81,0.066396
2500,82,0.066435
2500,83,0.067086
2500,84,0.067137
2500,85,0.066194
2500,86,0.067417
2500,87,0.073598
2500,88,0.066886
2500,89,0.066966
2500,90,0.067056
2500,91,0.091202
2500,92,0.070012
2500,93,0.067096
2500,94,0.068109
2500,95,0.066705
2500,96,0.067216
2500,97,0.066686
2500,98,0.067417
2500,99,0.066856
2500,100,0.066966
5000,1,0.247406
5000,2,0.181602
5000,3,0.174439
5000,4,0.170441
5000,5,0.176372
5000,6,0.168848
5000,7,0.167456
5000,8,0.166263
5000,9,0.190599
5000,10,0.171783
5000,11,0.175089
5000,12,0.163919
5000,13,0.166834
5000,14,0.162576
5000,15,0.165812
5000,16,0.162536
5000,17,0.171814
5000,18,0.165121
5000,19,0.186271
5000,20,0.160643
5000,21,0.169619
5000,22,0.181722
5000,23,0.168137
5000,24,0.160012
5000,25,0.161053
5000,26,0.161083
5000,27,0.161353
5000,28,0.160131
5000,29,0.170521
5000,30,0.160453
5000,31,0.163067
5000,32,0.162826
5000,33,0.162606
5000,34,0.161274
5000,35,0.169058
5000,36,0.191491
5000,37,0.203423
5000,38,0.219353
5000,39,0.207040
5000,40,0.197502
5000,41,0.161564
5000,42,0.180460
5000,43,0.171223
5000,44,0.160612
5000,45,0.159511
5000,46,0.165351
5000,47,0.158198
5000,48,0.159020
5000,49,0.156975
5000,50,0.156514
5000,51,0.158218
5000,52,0.164190
5000,53,0.156865
5000,54,0.156896
5000,55,0.155613
5000,56,0.157256
5000,57,0.156926
5000,58,0.164199
5000,59,0.151906
5000,60,0.152497
5000,61,0.152867
5000,62,0.152497
5000,63,0.151165
5000,64,0.151806
5000,65,0.165872
5000,66,0.151996
5000,67,0.150955
5000,68,0.152076
5000,69,0.151966
5000,70,0.151415
5000,71,0.164249
5000,72,0.151556
5000,73,0.162195
5000,74,0.153219
5000,75,0.152297
5000,76,0.158168
5000,77,0.153659
5000,78,0.166133
5000,79,0.154100
5000,80,0.154722
5000,81,0.163708
5000,82,0.179749
5000,83,0.157917
5000,84,0.166834
5000,85,0.164029
5000,86,0.210616
5000,87,0.160282
5000,88,0.159330
5000,89,0.158659
5000,90,0.173015
5000,91,0.159149
5000,92,0.158268
5000,93,0.157497
5000,94,0.154902
5000,95,0.156264
5000,96,0.168949
5000,97,0.155332
5000,98,0.155944
5000,99,0.154611
5000,100,0.154371
10000,1,0.412126
10000,2,0.432174
10000,3,0.394413
10000,4,0.409922
10000,5,0.404372
10000,6,0.390946
10000,7,0.402087
10000,8,0.383763
10000,9,0.393471
10000,10,0.399713
10000,11,0.391478
10000,12,0.393250
10000,13,0.384865
10000,14,0.392199
10000,15,0.393271
10000,16,0.386217
10000,17,0.396006
10000,18,0.386097
10000,19,0.396928
10000,20,0.392459
10000,21,0.385376
10000,22,0.394874
10000,23,0.378503
10000,24,0.384684
10000,25,0.387129
10000,26,0.383012
10000,27,0.394813
10000,28,0.390866
10000,29,0.381759
10000,30,0.391166
10000,31,0.381609
10000,32,0.388502
10000,33,0.392219
10000,34,0.384023
10000,35,0.392008
10000,36,0.384083
10000,37,0.385997
10000,38,0.386748
10000,39,0.381369
10000,40,0.393190
10000,41,0.392029
10000,42,0.390265
10000,43,0.391507
10000,44,0.382200
10000,45,0.404572
10000,46,0.391157
10000,47,0.407337
10000,48,0.391297
10000,49,0.399493
10000,50,0.384584
10000,51,0.382491
10000,52,0.377000
10000,53,0.403970
10000,54,0.394503
10000,55,0.394823
10000,56,0.391217
10000,57,0.378112
10000,58,0.390416
10000,59,0.413799
10000,60,0.385226
10000,61,0.396597
10000,62,0.382170
10000,63,0.391607
10000,64,0.375337
10000,65,0.394143
10000,66,0.372862
10000,67,0.373163
10000,68,0.386127
10000,69,0.379725
10000,70,0.372572
10000,71,0.386809
10000,72,0.375557
10000,73,0.391798
10000,74,0.388632
10000,75,0.373383
10000,76,0.373985
10000,77,0.375317
10000,78,0.377060
10000,79,0.389764
10000,80,0.372962
10000,81,0.372341
10000,82,0.386668
10000,83,0.377341
10000,84,0.393210
10000,85,0.375307
10000,86,0.371260
10000,87,0.383933
10000,88,0.382811
10000,89,0.375878
10000,90,0.385586
10000,91,0.375217
10000,92,0.394703
10000,93,0.393401
10000,94,0.381018
10000,95,0.388141
10000,96,0.375337
10000,97,0.376499
10000,98,0.379535
10000,99,0.369836
10000,100,0.396998
20000,1,15.349959
20000,2,0.833139
20000,3,0.824954
20000,4,0.826797
20000,5,0.824203
20000,6,0.858477
20000,7,0.846043
20000,8,0.836496
20000,9,0.833459
20000,10,0.835393
20000,11,0.822609
20000,12,0.818392
20000,13,0.833660
20000,14,0.827048
20000,15,0.817169
20000,16,0.820876
20000,17,0.826917
20000,18,0.823481
20000,19,0.829683
20000,20,0.819654
20000,21,0.801589
20000,22,0.817911
20000,23,0.829773
20000,24,0.830153
20000,25,0.826296
20000,26,0.818491
20000,27,0.818922
20000,28,0.843899
20000,29,0.840002
20000,30,0.843449
20000,31,0.845402
20000,32,0.830695
20000,33,0.842496
20000,34,0.838920
20000,35,0.881299
20000,36,0.826165
20000,37,0.858987
20000,38,0.802721
20000,39,0.804876
20000,40,0.812240
20000,41,0.805838
20000,42,0.820876
20000,43,0.818812
20000,44,0.800788
20000,45,0.819353
20000,46,0.810456
20000,47,0.813472
20000,48,0.815005
20000,49,0.799095
20000,50,0.823622
20000,51,0.809524
20000,52,0.810517
20000,53,0.821607
20000,54,0.818571
20000,55,0.828932
20000,56,0.816998
20000,57,0.835805
20000,58,0.822890
20000,59,0.820315
20000,60,0.801719
20000,61,0.816908
20000,62,0.813472
20000,63,0.809064
20000,64,0.804786
20000,65,0.798273
20000,66,0.823150
20000,67,0.814243
20000,68,0.819925
20000,69,0.806509
20000,70,0.804565
20000,71,0.801089
20000,72,0.917678
20000,73,0.839341
20000,74,0.834432
20000,75,0.863216
20000,76,0.832718
20000,77,0.823481
20000,78,0.815165
20000,79,0.837156
20000,80,0.847286
20000,81,0.840062
20000,82,0.844902
20000,83,0.803703
20000,84,0.818161
20000,85,0.805788
20000,86,0.823641
20000,87,0.815927
20000,88,0.815436
20000,89,0.809996
20000,90,0.810777
20000,91,0.818641
20000,92,0.826297
20000,93,0.877883
20000,94,0.868857
20000,95,0.818451
20000,96,0.842858
20000,97,0.825284
20000,98,0.824763
20000,99,0.816527
20000,100,0.807140
25000,1,1.319996
25000,2,1.092097
25000,3,1.112295
25000,4,1.138344
25000,5,1.116262
25000,6,1.117595
25000,7,1.130218
25000,8,1.081577
25000,9,1.099420
25000,10,1.088850
25000,11,1.094712
25000,12,1.111313
25000,13,1.190152
25000,14,1.111233
25000,15,1.119438
25000,16,1.106174
25000,17,1.160405
25000,18,1.126331
25000,19,1.196944
25000,20,1.153943
25000,21,1.113017
25000,22,1.115240
25000,23,1.235036
25000,24,1.197786
25000,25,1.168981
25000,26,1.113497
25000,27,1.202565
25000,28,1.223695
25000,29,1.080726
25000,30,1.143694
25000,31,1.096274
25000,32,1.162400
25000,33,1.086606
25000,34,1.109330
25000,35,1.098689
25000,36,1.159944
25000,37,1.116242
25000,38,1.145277
25000,39,1.105753
25000,40,1.081927
25000,41,1.076097
25000,42,1.108077
25000,43,1.149515
25000,44,1.125891
25000,45,1.089782
25000,46,1.095243
25000,47,1.110271
25000,48,1.072480
25000,49,1.111383
25000,50,1.105442
25000,51,1.101545
25000,52,1.129768
25000,53,1.113367
25000,54,1.136490
25000,55,1.081887
25000,56,1.115080
25000,57,1.087839
25000,58,1.094792
25000,59,1.082349
25000,60,1.128906
25000,61,1.135328
25000,62,1.104220
25000,63,1.187566
25000,64,1.092677
25000,65,1.134316
25000,66,1.094481
25000,67,1.194420
25000,68,1.181926
25000,69,1.109881
25000,70,1.142431
25000,71,1.122735
25000,72,1.218725
25000,73,1.098068
25000,74,1.079103
25000,75,1.233002
25000,76,1.085935
25000,77,1.098630
25000,78,1.105492
