t,q_0,q_1,q_2,q_3,qd_0,qd_1,qd_2,qd_3,sp_0,sp_1,sp_2,sp_3,tau_0,tau_1,tau_2,tau_3
2.311999999999999833e+00,6.713554296639482333e-01,8.670232342177650597e-01,-5.655126291389146465e-01,-4.871634552166815429e-03,1.135654146697883671e-01,1.518030850291621769e-01,9.464035446252351547e-02,-1.063349633863076793e+00,6.882354381188949821e-01,8.466642280471501358e-01,-5.560331532705247159e-01,-1.665098071498952448e-01,6.882354381188949821e-01,8.466642280471501358e-01,-5.560331532705247159e-01,-1.665098071498952448e-01
2.314000000000000057e+00,6.715819549092979512e-01,8.673261744079935331e-01,-5.653215973910065140e-01,-7.026569791122679390e-03,1.132626226748665310e-01,1.514700951142521901e-01,9.551587395409363856e-02,-1.077467619477932237e+00,6.883882985230843632e-01,8.469081336606711918e-01,-5.558074265557676474e-01,-1.686486410450317164e-01,6.882354381188949821e-01,8.466642280471501358e-01,-5.560331532705247159e-01,-1.665098071498952448e-01
2.315999999999999837e+00,6.718071540163591537e-01,8.676286815344987913e-01,-5.651311829950977916e-01,-9.153237688732227331e-03,1.125995535305904238e-01,1.512535632526051943e-01,9.520719795434004484e-02,-1.063333948804774165e+00,6.885401676482428845e-01,8.471514972530155285e-01,-5.555811440336304585e-01,-1.707869285187176567e-01,6.885401676482428845e-01,8.471514972530155285e-01,-5.555811440336304585e-01,-1.707869285187176567e-01
2.318000000000000060e+00,6.720317425075211792e-01,8.679305182313006295e-01,-5.649390070410293951e-01,-1.130811336861084135e-02,1.122942455809863016e-01,1.509183484008925213e-01,9.608797703421406711e-02,-1.077437839939306530e+00,6.886910452756788148e-01,8.473943186684307349e-01,-5.553543059303955864e-01,-1.729246626429056799e-01,6.885401676482428845e-01,8.471514972530155285e-01,-5.555811440336304585e-01,-1.707869285187176567e-01
2.319999999999999840e+00,6.722550085813806531e-01,8.682319256140877961e-01,-5.647474597188745227e-01,-1.343472233254896023e-02,1.116330369297611202e-01,1.507036913935990430e-01,9.577366107743209844e-02,-1.063304481969059134e+00,6.888409311881286134e-01,8.476365977515109007e-01,-5.551269124729009130e-01,-1.750618364913379965e-01,6.888409311881286134e-01,8.476365977515109007e-01,-5.551269124729009130e-01,-1.750618364913379965e-01
2.322000000000000064e+00,6.724776590235818086e-01,8.685326581182036820e-01,-5.645541403235172506e-01,-1.558951052452392863e-02,1.113252211005821141e-01,1.503662520579324424e-01,9.665969767862790663e-02,-1.077394095987483702e+00,6.889898251697565978e-01,8.478783343471973932e-01,-5.548989638885400977e-01,-1.771984431395732251e-01,6.888409311881286134e-01,8.476365977515109007e-01,-5.551269124729009130e-01,-1.750618364913379965e-01
2.323999999999999844e+00,6.726989907645001265e-01,8.688329650597758080e-01,-5.643614608404038391e-01,-1.771603299204883158e-02,1.106658704591582387e-01,1.501534707860365803e-01,9.633974155669305928e-02,-1.063261233762452074e+00,6.891377270061553872e-01,8.481195283007787467e-01,-5.546704604052615784e-01,-1.793344756650066263e-01,6.891377270061553872e-01,8.481195283007787467e-01,-5.546704604052615784e-01,-1.793344756650066263e-01
2.326000000000000068e+00,6.729197018741107650e-01,8.691325926746212849e-01,-5.641669987731956493e-01,-1.987070576847460579e-02,1.103555548053071628e-01,1.498138074227608751e-01,9.723103360407713003e-02,-1.077336388212887464e+00,6.892846364843463469e-01,8.483601794578911059e-01,-5.544414022515689044e-01,-1.814699271468968311e-01,6.891377270061553872e-01,8.481195283007787467e-01,-5.546704604052615784e-01,-1.793344756650066263e-01
2.327999999999999847e+00,6.731390979935393259e-01,8.694317984801493981e-01,-5.639731878989590053e-01,-2.199711417801342161e-02,1.096980597143024233e-01,1.496029027640705111e-01,9.690543711834330443e-02,-1.063204204769408356e+00,6.894305533927798102e-01,8.486002876645175608e-01,-5.542117896565202928e-01,-1.836047906663807738e-01,6.894305533927798102e-01,8.486002876645175608e-01,-5.542117896565202928e-01,-1.836047906663807738e-01
2.330000000000000071e+00,6.733578684980805473e-01,8.697303205118155356e-01,-5.637775839339018713e-01,-2.415164361278602373e-02,1.093852522705900110e-01,1.492610158330455183e-01,9.780198252859421959e-02,-1.077264717386301918e+00,6.895754775213355225e-01,8.488398527669887006e-01,-5.539816228497280726e-01,-1.857390593065046669e-01,6.894305533927798102e-01,8.486002876645175608e-01,-5.542117896565202928e-01,-1.836047906663807738e-01
