tool,family,name,n_vertices,n_hyperedges,mean_arity,source_bytes,rep,stage,wall_ns,output_bytes
competitor,tree,tree_50_k3,50,49,2.0,27222,2,mujoco_mjcf,208986099,14414
competitor,tree,tree_50_k3,50,49,2.0,27222,2,bundle_3fmt,514268566,0
competitor,tree,tree_50_k3,50,49,2.0,27222,3,xacro_urdf,83122696,31417
competitor,tree,tree_50_k3,50,49,2.0,27222,3,gz_sdf,264033637,69565
competitor,tree,tree_50_k3,50,49,2.0,27222,3,mujoco_mjcf,177383868,14414
competitor,tree,tree_50_k3,50,49,2.0,27222,3,bundle_3fmt,548510501,0
competitor,tree,tree_50_k3,50,49,2.0,27222,4,xacro_urdf,81211972,31417
competitor,tree,tree_50_k3,50,49,2.0,27222,4,gz_sdf,246964692,69565
competitor,tree,tree_50_k3,50,49,2.0,27222,4,mujoco_mjcf,181297286,14414
competitor,tree,tree_50_k3,50,49,2.0,27222,4,bundle_3fmt,526661712,0
competitor,chain,chain_100,100,99,2.0,56683,0,xacro_urdf,110285946,64627
competitor,chain,chain_100,100,99,2.0,56683,0,gz_sdf,391405606,144690
competitor,chain,chain_100,100,99,2.0,56683,0,mujoco_mjcf,193703065,74857
competitor,chain,chain_100,100,99,2.0,56683,0,bundle_3fmt,696261951,0
competitor,chain,chain_100,100,99,2.0,56683,1,xacro_urdf,99251717,64627
competitor,chain,chain_100,100,99,2.0,56683,1,gz_sdf,396410784,144690
competitor,chain,chain_100,100,99,2.0,56683,1,mujoco_mjcf,215114125,74857
competitor,chain,chain_100,100,99,2.0,56683,1,bundle_3fmt,698073617,0
competitor,chain,chain_100,100,99,2.0,56683,2,xacro_urdf,95663137,64627
competitor,chain,chain_100,100,99,2.0,56683,2,gz_sdf,404758867,144690
competitor,chain,chain_100,100,99,2.0,56683,2,mujoco_mjcf,223031125,74857
competitor,chain,chain_100,100,99,2.0,56683,2,bundle_3fmt,681983224,0
competitor,chain,chain_100,100,99,2.0,56683,3,xacro_urdf,96368220,64627
competitor,chain,chain_100,100,99,2.0,56683,3,gz_sdf,394088221,144690
competitor,chain,chain_100,100,99,2.0,56683,3,mujoco_mjcf,193309942,74857
competitor,chain,chain_100,100,99,2.0,56683,3,bundle_3fmt,692848584,0
competitor,chain,chain_100,100,99,2.0,56683,4,xacro_urdf,97643058,64627
